epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,Training,Validation,,,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),,           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,Total Val Loss,,                  x/lr0,                  x/lr1,                  x/lr2
0,0.12099,0.15355,0.20168,0.041288,0.517508,0.651605,,,0.0070514,0.05495,0.006241,0.0016509,0.0002869,0.0026306,0.00014509,2.69E-05,,0.11486,0.14554,0.35307,0.038135,0.651605,,0.0955,0.0005,0.0005
1,0.11875,0.13965,0.22861,0.04091,0.52792,0.611074,,,0.0088796,0.063172,0.0075735,0.0017539,0.00075717,0.0059911,0.00048702,5.40E-05,,0.11545,0.12579,0.33151,0.038324,0.611074,,0.090098,0.0010978,0.0010978
2,0.1135,0.11543,0.28477,0.038849,0.552549,0.571067,,,0.010904,0.077598,0.0081019,0.0016106,0.00080189,0.0066992,0.00041437,6.91E-05,,0.11413,0.10866,0.31252,0.035757,0.571067,,0.084693,0.0016933,0.0016933
3,0.10934,0.10605,0.20262,0.036869,0.454879,0.532954,,,0.01657,0.04716,0.0089937,0.0023646,0.00091176,0.0041191,0.00046118,8.66E-05,,0.11312,0.10336,0.28097,0.035504,0.532954,,0.079286,0.0022863,0.0022863
4,0.10547,0.10085,0.21146,0.034264,0.452044,0.602915,,,0.01844,0.08105,0.010882,0.003104,0.00072419,0.0044662,0.00029579,6.27E-05,,0.11039,0.10242,0.35553,0.034575,0.602915,,0.073877,0.002877,0.002877
5,0.10199,0.097609,0.20691,0.032495,0.439004,0.67717,,,0,0,0,0,0,0,0,0,,0.10818,0.10053,0.43582,0.03264,0.67717,,0.068465,0.0034654,0.0034654
6,0.097798,0.096539,0.19268,0.031001,0.418018,0.602655,,,0.069706,0.16087,0.028782,0.0071491,0.0059299,0.0029847,0.00065571,0.00012935,,0.10535,0.098849,0.36767,0.030786,0.602655,,0.063051,0.0040513,0.0040513
7,0.099556,0.095656,0.23047,0.029843,0.455525,0.825596,,,0.040652,0.14591,0.020998,0.0050357,0.66771,0.0003758,7.22E-05,1.45E-05,,0.10953,0.10128,0.58369,0.031096,0.825596,,0.057635,0.0046349,0.0046349
8,0.094898,0.094861,0.23256,0.028637,0.450956,0.560199,,,0.3762,0.20315,0.036744,0.0091614,0.00037859,0.00080906,0.00011885,1.19E-05,,0.099454,0.098073,0.33244,0.030232,0.560199,,0.052216,0.005216,0.005216
9,0.092101,0.095181,0.23574,0.029099,0.452121,0.583701,,,0.063541,0.17367,0.035352,0.0096693,0.019142,0.0052465,0.0018606,0.00045281,,0.1047,0.096568,0.35188,0.030553,0.583701,,0.046795,0.0057949,0.0057949
10,0.098229,0.093714,0.23376,0.028012,0.453715,0.567241,,,0.4491,0.063914,0.035037,0.0093015,9.88E-05,0.00040453,4.95E-05,4.95E-06,,0.1002,0.096631,0.34022,0.03019,0.567241,,0.041371,0.0063713,0.0063713
11,0.092937,0.094475,0.23047,0.028932,0.446814,0.62552,,,0.40444,0.098658,0.038398,0.0098615,0.00012523,0.00078033,6.27E-05,6.27E-06,,0.10047,0.096301,0.3983,0.030449,0.62552,,0.035945,0.0069454,0.0069454
12,0.095729,0.093024,0.22237,0.028743,0.439866,0.595713,,,0.41601,0.12149,0.053827,0.014206,0.33489,0.007516,0.00077147,0.0001756,,0.10326,0.095927,0.36749,0.029036,0.595713,,0.030517,0.007517,0.007517
13,0.098782,0.094636,0.24812,0.027765,0.469303,0.566586,,,0.38653,0.091781,0.039813,0.010171,0.00010174,0.0011274,5.05E-05,6.72E-06,,0.097609,0.096185,0.34418,0.028612,0.566586,,0.025086,0.0080864,0.0080864
14,0.090145,0.094765,0.22383,0.02862,0.43736,0.566586,,,0.38653,0.091781,0.039813,0.010171,0.00010174,0.0011274,5.05E-05,6.72E-06,,0.097609,0.096185,0.34418,0.028612,0.566586,,0.019653,0.0086533,0.0086533
15,0.087825,0.093382,0.23949,0.02841,0.449107,0.549373,,,0.44671,0.10717,0.07559,0.02371,0.00032922,0.0030064,0.00016631,2.70E-05,,0.091061,0.094528,0.33534,0.028444,0.549373,,0.014218,0.0092178,0.0092178
16,0.097178,0.092678,0.24667,0.027229,0.463755,0.655035,,,0.36912,0.059,0.028271,0.0078547,0.00013841,0.0015032,6.96E-05,1.56E-05,,0.10945,0.096184,0.4206,0.028801,0.655035,,0.0096832,0.0096832,0.0096832
17,0.1047,0.09293,0.23692,0.026666,0.461216,0.560692,,,0.034147,0.22312,0.036306,0.011821,0.00096091,0.010522,0.00049749,0.00010561,,0.10463,0.094362,0.33396,0.02774,0.560692,,0.0096832,0.0096832,0.0096832
18,0.10124,0.09284,0.26735,0.026587,0.488017,0.560692,,,0.034147,0.22312,0.036306,0.011821,0.00096091,0.010522,0.00049749,0.00010561,,0.10463,0.094362,0.33396,0.02774,0.560692,,0.0096634,0.0096634,0.0096634
19,0.096209,0.094708,0.21644,0.026994,0.434351,0.543683,,,0.4495,0.12725,0.080421,0.026152,0.001061,0.0045096,0.0004517,0.00011417,,0.098063,0.093761,0.32436,0.027499,0.543683,,0.0096436,0.0096436,0.0096436
20,0.098727,0.092255,0.19634,0.026678,0.414,0.581046,,,0.033554,0.14413,0.027118,0.0068495,0.33623,0.0048854,0.00071014,0.00016768,,0.10906,0.09443,0.35036,0.027196,0.581046,,0.0096238,0.0096238,0.0096238
21,0.10234,0.091987,0.23523,0.026687,0.456244,0.577542,,,0.44733,0.12192,0.065734,0.01794,0.35849,0.010898,0.0041769,0.00092812,,0.10084,0.092902,0.35685,0.02695,0.577542,,0.009604,0.009604,0.009604
22,0.096469,0.090897,0.2352,0.02674,0.449306,0.577542,,,0.44733,0.12192,0.065734,0.01794,0.35849,0.010898,0.0041769,0.00092812,,0.10084,0.092902,0.35685,0.02695,0.577542,,0.0095842,0.0095842,0.0095842
23,0.093815,0.091715,0.2303,0.02661,0.44244,0.559042,,,0.47459,0.13273,0.088691,0.026877,0.34938,0.012401,0.0048466,0.0014476,,0.09863,0.092486,0.34118,0.026746,0.559042,,0.0095644,0.0095644,0.0095644
24,0.092767,0.092056,0.20309,0.026642,0.414555,0.541917,,,0.085317,0.18864,0.070013,0.019508,0.0045298,0.012777,0.001516,0.00030906,,0.097246,0.092785,0.32563,0.026256,0.541917,,0.0095446,0.0095446,0.0095446
25,0.092297,0.092923,0.23363,0.026128,0.444978,0.685515,,,0.45352,0.15034,0.085552,0.023997,5.66E-05,0.0003758,1.93E-05,5.80E-06,,0.094238,0.11874,0.44568,0.026857,0.685515,,0.0095248,0.0095248,0.0095248
26,0.088967,0.098222,0.24826,0.025749,0.461198,0.685515,,,0.45352,0.15034,0.085552,0.023997,5.66E-05,0.0003758,1.93E-05,5.80E-06,,0.094238,0.11874,0.44568,0.026857,0.685515,,0.009505,0.009505,0.009505
27,0.085328,0.093636,0.24175,0.025868,0.446582,0.589855,,,0.77155,0.10485,0.10202,0.029958,0.33849,0.013905,0.0021612,0.00044876,,0.088596,0.093321,0.38145,0.026488,0.589855,,0.0094852,0.0094852,0.0094852
28,0.088176,0.092134,0.1928,0.026741,0.399851,0.537812,,,0.10133,0.18213,0.07984,0.022107,0.0027054,0.01923,0.0014394,0.00031922,,0.09624,0.091469,0.32461,0.025493,0.537812,,0.0094654,0.0094654,0.0094654
29,0.092369,0.090893,0.22756,0.025459,0.436281,0.624762,,,0.41123,0.16906,0.05094,0.014326,0.34113,0.009395,0.002027,0.00048147,,0.098118,0.0915,0.40997,0.025174,0.624762,,0.0094456,0.0094456,0.0094456
30,0.094049,0.091763,0.2169,0.025807,0.428519,0.624762,,,0.41123,0.16906,0.05094,0.014326,0.34113,0.009395,0.002027,0.00048147,,0.098118,0.0915,0.40997,0.025174,0.624762,,0.0094258,0.0094258,0.0094258
31,0.087692,0.091562,0.22912,0.025657,0.434031,0.512192,,,0.10853,0.2013,0.093452,0.02739,0.0093342,0.022952,0.0029875,0.00068274,,0.08942,0.09087,0.30689,0.025012,0.512192,,0.009406,0.009406,0.009406
32,0.087297,0.091991,0.21539,0.026184,0.420862,0.546871,,,0.1384,0.15921,0.095549,0.02532,0.013836,0.039791,0.0046106,0.0011903,,0.087293,0.091556,0.34311,0.024912,0.546871,,0.0093862,0.0093862,0.0093862
33,0.086165,0.090577,0.22783,0.025229,0.429801,0.522392,,,0.47632,0.2209,0.14331,0.044876,0.010275,0.042934,0.0047559,0.001114,,0.080696,0.090978,0.32607,0.024648,0.522392,,0.0093664,0.0093664,0.0093664
34,0.08198,0.090423,0.24764,0.02473,0.444773,0.522392,,,0.47632,0.2209,0.14331,0.044876,0.010275,0.042934,0.0047559,0.001114,,0.080696,0.090978,0.32607,0.024648,0.522392,,0.0093466,0.0093466,0.0093466
35,0.079528,0.090881,0.2236,0.024144,0.418153,0.523674,,,0.49844,0.2237,0.14928,0.048396,0.01385,0.052206,0.0050879,0.0012786,,0.079809,0.091071,0.32838,0.024414,0.523674,,0.0093268,0.0093268,0.0093268
36,0.081081,0.090541,0.25525,0.025027,0.451899,0.550502,,,0.13444,0.21572,0.13225,0.041841,0.013983,0.043513,0.0046869,0.0013016,,0.083025,0.090338,0.35273,0.024409,0.550502,,0.009307,0.009307,0.009307
37,0.081537,0.09037,0.26635,0.024069,0.462326,0.519203,,,0.16964,0.21838,0.1514,0.046235,0.03017,0.070403,0.01013,0.0028467,,0.079212,0.089105,0.32671,0.024176,0.519203,,0.0092872,0.0092872,0.0092872
38,0.078914,0.089226,0.22001,0.024704,0.412854,0.519203,,,0.16964,0.21838,0.1514,0.046235,0.03017,0.070403,0.01013,0.0028467,,0.079212,0.089105,0.32671,0.024176,0.519203,,0.0092674,0.0092674,0.0092674
39,0.078311,0.090215,0.21295,0.025653,0.407129,0.519043,,,0.18893,0.20792,0.16763,0.056913,0.033166,0.084481,0.014295,0.0037566,,0.076633,0.089025,0.32925,0.024135,0.519043,,0.0092476,0.0092476,0.0092476
40,0.080341,0.089115,0.24474,0.024263,0.438459,0.543953,,,0.1496,0.23747,0.12518,0.041127,0.022591,0.061999,0.0094635,0.0024373,,0.08334,0.089562,0.34715,0.023901,0.543953,,0.0092278,0.0092278,0.0092278
41,0.083212,0.088415,0.22833,0.024476,0.424433,0.507761,,,0.16072,0.2832,0.1562,0.050706,0.029051,0.08081,0.010577,0.0032555,,0.081099,0.089149,0.31376,0.023753,0.507761,,0.009208,0.009208,0.009208
42,0.080681,0.089547,0.20736,0.024777,0.402365,0.507761,,,0.16072,0.2832,0.1562,0.050706,0.029051,0.08081,0.010577,0.0032555,,0.081099,0.089149,0.31376,0.023753,0.507761,,0.0091882,0.0091882,0.0091882
43,0.077543,0.088543,0.23341,0.022887,0.422383,0.502819,,,0.18626,0.27028,0.17776,0.063713,0.032862,0.081778,0.013679,0.0036644,,0.07758,0.087988,0.31363,0.023621,0.502819,,0.0091684,0.0091684,0.0091684
44,0.078114,0.088348,0.21429,0.023496,0.404248,0.499887,,,0.13479,0.29479,0.15183,0.050086,0.036688,0.07987,0.014114,0.0040464,,0.079128,0.0876,0.31017,0.022989,0.499887,,0.0091486,0.0091486,0.0091486
45,0.080996,0.088274,0.2157,0.022984,0.407954,0.497667,,,0.121,0.3525,0.11337,0.033617,0.040622,0.092944,0.015141,0.0041841,,0.087119,0.086823,0.30106,0.022665,0.497667,,0.0091288,0.0091288,0.0091288
46,0.089669,0.086692,0.18856,0.022893,0.387814,0.497667,,,0.121,0.3525,0.11337,0.033617,0.040622,0.092944,0.015141,0.0041841,,0.087119,0.086823,0.30106,0.022665,0.497667,,0.009109,0.009109,0.009109
47,0.087536,0.089033,0.21847,0.023437,0.418476,0.494864,,,0.14246,0.31512,0.12906,0.04061,0.041486,0.085334,0.015386,0.0043161,,0.086342,0.087224,0.29884,0.022458,0.494864,,0.0090892,0.0090892,0.0090892
48,0.083643,0.087882,0.21827,0.022734,0.412529,0.506584,,,0.26672,0.22423,0.16715,0.054566,0.046539,0.10762,0.019486,0.0050073,,0.080543,0.087984,0.31552,0.022537,0.506584,,0.0090694,0.0090694,0.0090694
49,0.081173,0.087685,0.20814,0.02342,0.400418,0.498809,,,0.2103,0.32476,0.188,0.060823,0.048949,0.099737,0.023924,0.0067358,,0.080581,0.086651,0.30944,0.022137,0.498809,,0.0090496,0.0090496,0.0090496
50,0.080698,0.087687,0.21134,0.023613,0.403338,0.498809,,,0.2103,0.32476,0.188,0.060823,0.048949,0.099737,0.023924,0.0067358,,0.080581,0.086651,0.30944,0.022137,0.498809,,0.0090298,0.0090298,0.0090298
51,0.078057,0.087036,0.22446,0.022143,0.411696,0.499374,,,0.22525,0.31962,0.1798,0.062564,0.051677,0.08941,0.022976,0.0060544,,0.078145,0.08611,0.31309,0.022029,0.499374,,0.00901,0.00901,0.00901
52,0.079833,0.087526,0.21888,0.022306,0.408545,0.519113,,,0.16239,0.31955,0.14733,0.049214,0.043901,0.10865,0.021266,0.005968,,0.080604,0.090203,0.32516,0.023146,0.519113,,0.0089902,0.0089902,0.0089902
53,0.081083,0.089308,0.24277,0.023159,0.43632,0.487742,,,0.32589,0.26046,0.21048,0.069729,0.05016,0.10983,0.026278,0.0073343,,0.075198,0.084984,0.30605,0.02151,0.487742,,0.0089704,0.0089704,0.0089704
54,0.074539,0.08622,0.20298,0.022666,0.386405,0.487742,,,0.32589,0.26046,0.21048,0.069729,0.05016,0.10983,0.026278,0.0073343,,0.075198,0.084984,0.30605,0.02151,0.487742,,0.0089506,0.0089506,0.0089506
55,0.074839,0.086771,0.21773,0.02171,0.40105,0.488676,,,0.22606,0.30652,0.23152,0.085481,0.061405,0.1094,0.031044,0.0087361,,0.073279,0.085106,0.30893,0.021361,0.488676,,0.0089308,0.0089308,0.0089308
56,0.079377,0.089146,0.19411,0.021806,0.384439,0.514169,,,0.19468,0.26109,0.15759,0.053059,0.059919,0.075071,0.024961,0.0064571,,0.081327,0.089971,0.32186,0.021011,0.514169,,0.008911,0.008911,0.008911
57,0.082724,0.088848,0.21869,0.021241,0.411503,0.487645,,,0.29275,0.32505,0.24129,0.084041,0.079439,0.099829,0.038654,0.0097127,,0.073565,0.084483,0.30894,0.020657,0.487645,,0.0088912,0.0088912,0.0088912
58,0.07448,0.086243,0.22601,0.021927,0.40866,0.487645,,,0.29275,0.32505,0.24129,0.084041,0.079439,0.099829,0.038654,0.0097127,,0.073565,0.084483,0.30894,0.020657,0.487645,,0.0088714,0.0088714,0.0088714
59,0.074547,0.08652,0.24984,0.020212,0.431119,0.488847,,,0.31747,0.3468,0.26788,0.09703,0.075934,0.093325,0.03882,0.0095601,,0.072367,0.085596,0.31035,0.020534,0.488847,,0.0088516,0.0088516,0.0088516
60,0.075488,0.085229,0.21723,0.021142,0.399089,0.485622,,,0.25583,0.38044,0.22913,0.078711,0.097347,0.10005,0.048852,0.011393,,0.077037,0.085115,0.30329,0.02018,0.485622,,0.0088318,0.0088318,0.0088318
61,0.080231,0.086491,0.22954,0.021284,0.417546,0.487786,,,0.29478,0.34267,0.23397,0.078706,0.094755,0.12013,0.046843,0.011878,,0.080776,0.084068,0.30282,0.020122,0.487786,,0.008812,0.008812,0.008812
62,0.08419,0.084855,0.21107,0.020634,0.400749,0.487786,,,0.29478,0.34267,0.23397,0.078706,0.094755,0.12013,0.046843,0.011878,,0.080776,0.084068,0.30282,0.020122,0.487786,,0.0087922,0.0087922,0.0087922
63,0.081727,0.084971,0.19433,0.021225,0.382253,0.479814,,,0.30044,0.34375,0.24545,0.085437,0.085319,0.12527,0.046372,0.012378,,0.07984,0.083995,0.29604,0.019939,0.479814,,0.0087724,0.0087724,0.0087724
64,0.079545,0.086644,0.22357,0.020931,0.41069,0.472609,,,0.32853,0.3515,0.27685,0.098881,0.094958,0.11514,0.051398,0.011966,,0.074272,0.08352,0.29517,0.019647,0.472609,,0.0087526,0.0087526,0.0087526
65,0.076124,0.084239,0.20462,0.019466,0.384449,0.478133,,,0.2851,0.33499,0.22705,0.073081,0.083956,0.10662,0.042085,0.011865,,0.075024,0.083173,0.30029,0.019646,0.478133,,0.0087328,0.0087328,0.0087328
66,0.077709,0.084008,0.21889,0.019691,0.400298,0.478133,,,0.2851,0.33499,0.22705,0.073081,0.083956,0.10662,0.042085,0.011865,,0.075024,0.083173,0.30029,0.019646,0.478133,,0.008713,0.008713,0.008713
67,0.074316,0.083625,0.20354,0.019874,0.381355,0.480195,,,0.28642,0.33218,0.2309,0.081047,0.084663,0.09433,0.03732,0.010528,,0.074596,0.083264,0.30297,0.019365,0.480195,,0.0086932,0.0086932,0.0086932
