 epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,Total Loss,Total Val,,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,,,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,2.9365,5.851,3.5406,2.3211,12.3281,12.6444,,0.01504,0.07288,0.01146,0.00454,0.00298,0.01574,0.00164,0.00047,3.017,5.7286,3.8988,,,2.4122,0.0955,0.0005,0.0005
1,2.9009,5.6767,3.5157,2.3523,12.0933,12.8674,,0.02124,0.12246,0.02083,0.00779,0.00549,0.04141,0.00305,0.00082,2.8795,6.2931,3.6948,,,2.4957,0.090098,0.0010978,0.0010978
2,2.8598,5.5314,3.1502,2.2194,11.5414,12.0984,,0.0365,0.04171,0.02194,0.00743,0.01016,0.01127,0.003,0.0008,2.9705,5.7734,3.3545,,,2.4855,0.084693,0.0016933,0.0016933
3,2.8215,5.1183,2.7055,2.1834,10.6453,11.689,,0.03977,0.03804,0.02131,0.00785,0.01061,0.00601,0.00249,0.0007,2.9975,5.2747,3.4168,,,2.4682,0.079286,0.0022863,0.0022863
4,2.4935,4.7249,2.3678,2.0119,9.5862,10.8307,,0.06338,0.0895,0.04342,0.01427,0.00694,0.02217,0.00391,0.00094,2.7733,5.3567,2.7007,,,2.3779,0.073877,0.002877,0.002877
5,2.4521,4.6302,2.1964,1.9252,9.2787,9.5443,,0.12235,0.11588,0.08441,0.0368,0.02181,0.02664,0.0064,0.00147,2.53,4.7438,2.2705,,,2.1969,0.068465,0.0034654,0.0034654
6,2.3623,4.5222,2.0251,1.8873,8.9096,9.0331,,0.13304,0.16139,0.10283,0.04385,0.02647,0.03442,0.00767,0.00169,2.4233,4.5192,2.0906,,,2.0768,0.063051,0.0040513,0.0040513
7,2.3218,4.4573,1.9559,1.8469,8.735,8.9273,,0.16417,0.16866,0.10732,0.05276,0.02282,0.02061,0.00618,0.00156,2.3128,4.462,2.1525,,,1.972,0.057635,0.0046349,0.0046349
8,2.2423,4.415,1.967,1.7789,8.6243,8.8001,,0.17284,0.12869,0.11512,0.05568,0.03724,0.03957,0.01342,0.00318,2.2761,4.3679,2.1561,,,1.9213,0.052216,0.005216,0.005216
9,2.2737,4.4249,2.0168,1.7746,8.7154,8.6807,,0.23066,0.19916,0.14268,0.07304,0.05197,0.04738,0.01714,0.00448,2.2575,4.3076,2.1156,,,1.8541,0.046795,0.0057949,0.0057949
10,2.136,4.2652,2.0051,1.679,8.4063,9.2817,,0.19778,0.21107,0.14474,0.07753,0.01948,0.02621,0.0064,0.00168,2.1397,4.4895,2.6525,,,1.7521,0.041371,0.0063713,0.0063713
11,2.044,4.2948,1.9127,1.622,8.2515,8.6055,,0.2138,0.20436,0.12844,0.05511,0.07654,0.06112,0.01833,0.00465,2.1715,4.3614,2.0726,,,1.8071,0.035945,0.0069454,0.0069454
12,2.1835,4.3189,2.0631,1.7329,8.5655,8.64,,0.20107,0.26106,0.17649,0.08464,0.04224,0.06748,0.02082,0.0051,2.0974,4.2996,2.243,,,1.8007,0.030517,0.007517,0.007517
13,2.045,4.2404,1.9492,1.6601,8.2346,8.2503,,0.26652,0.21616,0.16572,0.08758,0.08424,0.07233,0.02692,0.008,2.0919,4.1372,2.0212,,,1.7649,0.025086,0.0080864,0.0080864
14,2.164,4.2884,1.9371,1.68,8.3895,8.2503,,0.26652,0.21616,0.16572,0.08758,0.08424,0.07233,0.02692,0.008,2.0919,4.1372,2.0212,,,1.7649,0.019653,0.0086533,0.0086533
15,2.0159,4.1156,1.8312,1.5981,7.9627,8.6768,,0.25417,0.18727,0.14819,0.07282,0.05328,0.0744,0.02929,0.00841,2.1068,4.3955,2.1745,,,1.7581,0.014218,0.0092178,0.0092178
16,2.1186,4.2659,1.876,1.6454,8.2605,9.1057,,0.26918,0.24011,0.17647,0.08449,0.06493,0.04937,0.02181,0.00575,2.1771,4.3034,2.6252,,,1.7649,0.0096832,0.0096832,0.0096832
17,2.1168,4.2027,1.7776,1.611,8.0971,8.3928,,0.48427,0.24824,0.21895,0.10483,0.13853,0.12192,0.04655,0.01229,2.0841,4.5202,1.7885,,,1.6866,0.0096832,0.0096832,0.0096832
18,2.0501,4.1643,1.707,1.5717,7.9214,8.3928,,0.48427,0.24824,0.21895,0.10483,0.13853,0.12192,0.04655,0.01229,2.0841,4.5202,1.7885,,,1.6866,0.0096634,0.0096634,0.0096634
19,2.1407,4.257,1.8432,1.5956,8.2409,8.5251,,0.29788,0.21368,0.17531,0.08047,0.12853,0.08887,0.04906,0.01241,2.196,4.4453,1.8838,,,1.7766,0.0096436,0.0096436,0.0096436
20,2.1132,4.1134,1.7499,1.5899,7.9765,7.8571,,0.38529,0.26039,0.23263,0.11221,0.12488,0.13878,0.06287,0.01752,2,4.0048,1.8523,,,1.6565,0.0096238,0.0096238,0.0096238
21,2.0667,4.1144,1.7135,1.5951,7.8946,9.2106,,0.3358,0.14939,0.14797,0.06598,0.11365,0.06688,0.03133,0.00755,2.3976,4.6936,2.1194,,,1.9427,0.009604,0.009604,0.009604
22,2.1578,4.1425,1.8357,1.6146,8.136,9.2106,,0.3358,0.14939,0.14797,0.06598,0.11365,0.06688,0.03133,0.00755,2.3976,4.6936,2.1194,,,1.9427,0.0095842,0.0095842,0.0095842
23,2.0461,4.0439,1.682,1.5414,7.772,8.3486,,0.30259,0.22748,0.20382,0.09875,0.13954,0.06814,0.05093,0.01488,2.1828,4.1882,1.9776,,,1.6775,0.0095644,0.0095644,0.0095644
24,1.9922,4.0688,1.6304,1.5059,7.6914,10.3129,,0.23662,0.28691,0.16727,0.08033,0.06365,0.03929,0.01618,0.00509,2.4408,5.0297,2.8424,,,1.781,0.0095446,0.0095446,0.0095446
25,1.9485,4.31,1.6134,1.4929,7.8719,9.1519,,0.20876,0.20798,0.12211,0.05541,0.09987,0.05613,0.03203,0.0067,2.4295,4.4897,2.2327,,,1.816,0.0095248,0.0095248,0.0095248
26,2.0714,4.103,1.7101,1.577,7.8845,9.1519,,0.20876,0.20798,0.12211,0.05541,0.09987,0.05613,0.03203,0.0067,2.4295,4.4897,2.2327,,,1.816,0.009505,0.009505,0.009505
27,2.0684,4.1599,1.598,1.5526,7.8263,7.509,,0.40784,0.29612,0.26316,0.13094,0.15808,0.1473,0.0828,0.02648,1.9935,3.9105,1.605,,,1.5838,0.0094852,0.0094852,0.0094852
28,1.9572,4.0072,1.63,1.558,7.5944,7.8158,,0.36242,0.26347,0.23646,0.11857,0.18735,0.1311,0.09151,0.03097,2.0467,4.0547,1.7144,,,1.6608,0.0094654,0.0094654,0.0094654
29,1.9381,3.914,1.5685,1.5474,7.4206,7.4958,,0.36503,0.30378,0.2714,0.13498,0.15468,0.14048,0.08036,0.02722,1.9223,3.9805,1.593,,,1.5812,0.0094456,0.0094456,0.0094456
30,1.9305,3.9996,1.5344,1.5279,7.4645,7.4958,,0.36503,0.30378,0.2714,0.13498,0.15468,0.14048,0.08036,0.02722,1.9223,3.9805,1.593,,,1.5812,0.0094258,0.0094258,0.0094258
31,1.9335,3.981,1.5577,1.5151,7.4722,7.4886,,0.3892,0.26561,0.26345,0.13321,0.16915,0.1124,0.08504,0.03028,1.9515,3.9382,1.5989,,,1.5852,0.009406,0.009406,0.009406
32,1.9851,3.9224,1.5927,1.4855,7.5002,7.4858,,0.39478,0.27356,0.26452,0.13356,0.15925,0.1307,0.08575,0.02963,1.9868,3.9012,1.5978,,,1.597,0.0093862,0.0093862,0.0093862
33,1.9333,3.8903,1.611,1.4823,7.4346,7.1956,,0.34018,0.31758,0.28882,0.14482,0.1485,0.14095,0.08743,0.02839,1.872,3.7801,1.5435,,,1.5116,0.0093664,0.0093664,0.0093664
34,1.9288,3.9142,1.46,1.4752,7.303,7.1956,,0.34018,0.31758,0.28882,0.14482,0.1485,0.14095,0.08743,0.02839,1.872,3.7801,1.5435,,,1.5116,0.0093466,0.0093466,0.0093466
